BEN|33.9435603559,-117.58958429|2018-03-13 23:23:15|Snow|-3.5|837.6|66
HOB|33.9435603576,-117.588936481|2018-03-24 10:58:19|Sunny|23.2|816.1|69
CAN|33.9435603592,-117.588288671|2020-07-27 14:21:03|Sunny|12.0|1189.7|69
DAR|33.9435603609,-117.587640862|2018-10-07 07:47:37|Rain|18.2|702.6|66
SYD|33.9435603626,-117.586993052|2020-06-12 13:13:03|Rain|24.3|880.1|62
MEL|33.9435603642,-117.586345242|2020-07-24 18:52:43|Rain|18.5|1186.6|58
ADL|33.9435603659,-117.585697433|2018-07-30 00:21:28|Sunny|17.2|983.8|62
ALB|33.9435603676,-117.585049623|2019-09-02 09:32:16|Rain|15.4|1099.6|65
BRB|33.9435603692,-117.584401814|2019-10-13 04:58:34|Snow|-4.3|810.6|69
PER|33.9435603709,-117.583754004|2018-11-09 15:18:11|Snow|-5.4|777.1|58
BEN|33.9435603725,-117.583106195|2019-02-04 04:06:49|Snow|-4.9|807.0|57
HOB|33.9435603742,-117.582458385|2019-09-25 01:11:11|Sunny|34.8|1032.2|63
CAN|33.9435603759,-117.581810576|2019-01-25 03:12:54|Sunny|28.8|1097.7|64
DAR|33.9435603775,-117.581162766|2019-01-12 09:56:48|Snow|-1.8|1148.2|69
SYD|33.9435603792,-117.580514957|2018-02-16 22:46:15|Snow|-6.5|1170.8|67
MEL|33.9435603809,-117.579867147|2020-06-18 23:51:11|Rain|23.8|963.7|65
ADL|33.9435603825,-117.579219337|2019-01-22 23:10:10|Sunny|12.7|718.0|59
ALB|33.9435603842,-117.578571528|2019-07-19 11:53:59|Rain|24.1|826.0|66
BRB|33.9435603859,-117.577923718|2020-09-01 17:35:11|Snow|-1.1|953.1|57
PER|33.9435603875,-117.577275909|2020-05-02 12:16:57|Snow|-1.8|941.2|70
